ID,Htno,Subcode,Subname,Grade,Credits,
1,15471A04H1,R1642041,CELLULAR MOBILE COMMUNICATIONS,ABSENT,0,
2,15471A04H1,R1642043,SATELLITE COMMUNICATIONS,ABSENT,0,
3,15471A04H1,R164204A,WIRELESS SENSORS AND NETWORKS (COMMON TO,ABSENT,0,
4,15BQ1A0316,R1642033,AUTOMOBILE ENGINEERING,F,0,
5,16BQ1A0254,R1642022,HVDC TRANSMISSION,B,3,
6,16BQ1A0271,R1642022,HVDC TRANSMISSION,ABSENT,0,
7,16BQ1A0275,R1642021,DIGITAL CONTROL SYSTEMS,F,0,
8,16BQ1A0289,R1642021,DIGITAL CONTROL SYSTEMS,D,3,
9,16BQ1A0347,R1642031,PRODUCTION PLANNING AND CONTROL (COMMON,ABSENT,0,
10,16BQ1A0380,R1642032,UNCONVENTIONAL MACHINING PROCESSES,D,3,
11,16BQ1A0419,R1642042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,C,3,
12,16BQ1A0436,R1642041,CELLULAR MOBILE COMMUNICATIONS,C,3,
13,16BQ1A04H2,R1642043,SATELLITE COMMUNICATIONS,C,3,
14,16BQ1A05C1,R1642053,MACHINE LEARNING,ABSENT,0,
15,17BQ1A0213,R1642021,DIGITAL CONTROL SYSTEMS,C,3,
16,17BQ1A0236,R1642021,DIGITAL CONTROL SYSTEMS,D,3,
17,17BQ1A0242,R1642021,DIGITAL CONTROL SYSTEMS,F,0,
18,17BQ1A0242,R164202B,FLEXIBLE ALTERNATING CURRENT TRANSMISSIO,F,0,
19,17BQ1A0257,R1642021,DIGITAL CONTROL SYSTEMS,C,3,
20,17BQ1A0260,R1642021,DIGITAL CONTROL SYSTEMS,S,3,
21,17BQ1A0262,R1642021,DIGITAL CONTROL SYSTEMS,F,0,
22,17BQ1A0265,R1642021,DIGITAL CONTROL SYSTEMS,F,0,
23,17BQ1A0273,R1642023,ELECTRICAL DISTRIBUTION SYSTEMS,D,3,
24,17BQ1A0274,R1642021,DIGITAL CONTROL SYSTEMS,C,3,
25,17BQ1A0292,R1642021,DIGITAL CONTROL SYSTEMS,ABSENT,0,
26,17BQ1A0292,R1642023,ELECTRICAL DISTRIBUTION SYSTEMS,ABSENT,0,
27,17BQ1A02A9,R1642021,DIGITAL CONTROL SYSTEMS,C,3,
28,17BQ1A0335,R1642033,AUTOMOBILE ENGINEERING,B,3,
29,17BQ1A0366,R1642031,PRODUCTION PLANNING AND CONTROL (COMMON,ABSENT,0,
30,17BQ1A0366,R164203B,NON DESTRUCTIVE EVALUATION,ABSENT,0,
31,17BQ1A0370,R1642031,PRODUCTION PLANNING AND CONTROL (COMMON,D,3,
32,17BQ1A0370,R164203B,NON DESTRUCTIVE EVALUATION,F,0,
33,17BQ1A0415,R1642042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,F,0,
34,17BQ1A0415,R1642043,SATELLITE COMMUNICATIONS,F,0,
35,17BQ1A0422,R1642042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,F,0,
36,17BQ1A0427,R1642042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,F,0,
37,17BQ1A0427,R1642043,SATELLITE COMMUNICATIONS,F,0,
38,17BQ1A0427,R1642046,PROJECT,B,10,
39,17BQ1A0427,R164204A,WIRELESS SENSORS AND NETWORKS (COMMON TO,ABSENT,0,
40,17BQ1A0449,R164204A,WIRELESS SENSORS AND NETWORKS (COMMON TO,D,3,
41,17BQ1A0459,R1642042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,F,0,
42,17BQ1A0459,R1642043,SATELLITE COMMUNICATIONS,F,0,
43,17BQ1A04D0,R1642041,CELLULAR MOBILE COMMUNICATIONS,F,0,
44,17BQ1A04D0,R1642042,ELECTRONIC MEASUREMENTS AND INSTRUMENTAT,F,0,
